,0,1,2,3,4,5,6,7
45,NBC News,1464919521,2019-10-02,Dateline NBC,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}]",https://podcasts.apple.com/us/podcast/dateline-nbc/id1464919521,Vincent
46,NPR,1091709555,2019-09-05,Embedded,podcast,"[{'genreId': '1530', 'name': 'News Commentary', 'url': 'https://itunes.apple.com/us/genre/id1530'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1543', 'name': 'Documentary', 'url': 'https://itunes.apple.com/us/genre/id1543'}]",https://podcasts.apple.com/us/podcast/embedded/id1091709555,Vincent
47,ABC News,1449500734,2019-02-27,The Dropout,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/the-dropout/id1449500734,Vincent
48,Serial & This American Life,1212558767,2017-03-28,S-Town,podcast,"[{'genreId': '1302', 'name': 'Personal Journals', 'url': 'https://itunes.apple.com/us/genre/id1302'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}]",https://podcasts.apple.com/us/podcast/s-town/id1212558767,Vincent
49,Pushkin Industries,1455379351,2019-05-21,Against the Rules with Michael Lewis,podcast,"[{'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1545', 'name': 'Sports', 'url': 'https://itunes.apple.com/us/genre/id1545'}]",https://podcasts.apple.com/us/podcast/against-the-rules-with-michael-lewis/id1455379351,Vincent
50,Wondery,1459899343,2019-09-16,Inside Star Wars,podcast,"[{'genreId': '1564', 'name': 'Film History', 'url': 'https://itunes.apple.com/us/genre/id1564'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1309', 'name': 'TV & Film', 'url': 'https://itunes.apple.com/us/genre/id1309'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1543', 'name': 'Documentary', 'url': 'https://itunes.apple.com/us/genre/id1543'}]",https://podcasts.apple.com/us/podcast/inside-star-wars/id1459899343,Vincent
51,Barstool Sports,1200343264,2019-10-03,Fore Play,podcast,"[{'genreId': '1545', 'name': 'Sports', 'url': 'https://itunes.apple.com/us/genre/id1545'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/fore-play/id1200343264,Vincent
52,Dan Carlin,173001861,2019-01-12,Dan Carlin's Hardcore History,podcast,"[{'genreId': '1487', 'name': 'History', 'url': 'https://itunes.apple.com/us/genre/id1487'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/dan-carlins-hardcore-history/id173001861,Vincent
53,Mike Carruthers / OmniCast Media,1150124880,2019-10-03,Something You Should Know,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/something-you-should-know/id1150124880,Vincent
54,iHeartRadio & Ron Burgundy,1449766796,2019-10-03,The Ron Burgundy Podcast,podcast,"[{'genreId': '1303', 'name': 'Comedy', 'url': 'https://itunes.apple.com/us/genre/id1303'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/the-ron-burgundy-podcast/id1449766796,Vincent
55,The Ringer & Bill Simmons,1043699613,2019-10-02,The Bill Simmons Podcast,podcast,"[{'genreId': '1545', 'name': 'Sports', 'url': 'https://itunes.apple.com/us/genre/id1545'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/the-bill-simmons-podcast/id1043699613,Vincent
